"id","start_date","end_date"
"ID1","01-01-2021","23-08-2021"
"ID2","08-01-2021","26-06-2021"
"ID3","15-01-2021","11-10-2021"
"ID4","22-01-2021","16-05-2021"
"ID5","29-01-2021","09-11-2021"
"ID6","05-02-2021","24-09-2021"
"ID7","12-02-2021","07-07-2021"
"ID8","19-02-2021","07-11-2021"
"ID9","26-02-2021","25-11-2021"
"ID10","05-03-2021","26-01-2022"
"ID11","12-03-2021","15-08-2021"
"ID12","19-03-2021","27-11-2021"
"ID13","26-03-2021","01-08-2021"
"ID14","02-04-2021","04-01-2022"
"ID15","09-04-2021","12-03-2022"
"ID16","16-04-2021","26-07-2021"
"ID17","23-04-2021","09-11-2021"
"ID18","30-04-2021","12-12-2021"
"ID19","07-05-2021","31-10-2021"
"ID20","14-05-2021","22-02-2022"
"ID21","21-05-2021","27-12-2021"
"ID22","28-05-2021","26-01-2022"
"ID23","04-06-2021","15-05-2022"
"ID24","11-06-2021","03-05-2022"
"ID25","18-06-2021","27-04-2022"
"ID26","25-06-2021","10-12-2021"
"ID27","02-07-2021","29-12-2021"
"ID28","09-07-2021","20-11-2021"
"ID29","16-07-2021","09-03-2022"
"ID30","23-07-2021","25-12-2021"
"ID31","30-07-2021","10-04-2022"
"ID32","06-08-2021","16-02-2022"
"ID33","13-08-2021","21-07-2022"
"ID34","20-08-2021","14-05-2022"
"ID35","27-08-2021","27-12-2021"
"ID36","03-09-2021","21-02-2022"
"ID37","10-09-2021","08-02-2022"
"ID38","17-09-2021","26-03-2022"
"ID39","24-09-2021","31-03-2022"
"ID40","01-10-2021","23-02-2022"
"ID41","08-10-2021","07-06-2022"
"ID42","15-10-2021","28-06-2022"
"ID43","22-10-2021","02-02-2022"
"ID44","29-10-2021","28-03-2022"
"ID45","05-11-2021","17-04-2022"
"ID46","12-11-2021","24-04-2022"
"ID47","19-11-2021","04-08-2022"
"ID48","26-11-2021","09-08-2022"
"ID49","03-12-2021","11-05-2022"
"ID50","10-12-2021","28-11-2022"
